,departure_time,trip_id,route_id,service_id,trip_headsign,route_long_name
203,07:00:00,727401_8271_20251002,154_154120_1_20251002,1,八代産交,松橋駅→宮原～八代駅→八代産交
34,07:15:00,727401_7355_20251002,52_52161_1_20251002,1,宇土駅前,松橋駅→宇土本町二丁目～西城の浦→宇土駅前
56,07:18:00,727401_7821_20251002,100_100131_1_20251002,1,宇土本町二丁目,砥用中央→堅志田～山崎橋→宇土本町二丁目
78,07:27:00,727401_7822_20251002,100_100140_1_20251002,1,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
35,07:35:00,727401_7356_20251002,52_52161_1_20251002,1,宇土駅前,松橋駅→宇土本町二丁目～西城の浦→宇土駅前
135,07:55:00,727401_8252_20251002,154_154110_1_20251002,1,八代市役所前,松橋駅→鏡四つ角～大村→八代市役所
204,08:10:00,727401_8272_20251002,154_154120_1_20251002,1,八代産交,松橋駅→宮原～八代駅→八代産交
4,08:20:00,727301_7329_20251002,50_50120_1_20251002,1,三角産交,松橋駅→大口～三角病院→三角産交
264,08:25:00,1_1253_20251001,15_17022_1_20251001,8,桜町バスターミナル,M6-3：松橋駅→城南→イオン→田迎→桜町バスターミナル
136,08:30:00,727401_8253_20251002,154_154110_1_20251002,1,八代市役所前,松橋駅→鏡四つ角～大村→八代市役所
79,08:47:00,727401_7823_20251002,100_100140_1_20251002,1,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
205,08:55:00,727401_8273_20251002,154_154120_1_20251002,1,八代産交,松橋駅→宮原～八代駅→八代産交
137,09:00:00,727401_8254_20251002,154_154110_1_20251002,1,八代市役所前,松橋駅→鏡四つ角～大村→八代市役所
5,09:20:00,727301_7330_20251002,50_50120_1_20251002,1,三角産交,松橋駅→大口～三角病院→三角産交
206,09:40:00,727401_8274_20251002,154_154120_1_20251002,1,八代産交,松橋駅→宮原～八代駅→八代産交
80,09:42:00,727401_7824_20251002,100_100140_1_20251002,1,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
138,10:05:00,727401_8255_20251002,154_154110_1_20251002,1,八代市役所前,松橋駅→鏡四つ角～大村→八代市役所
207,10:35:00,727401_8275_20251002,154_154120_1_20251002,1,八代産交,松橋駅→宮原～八代駅→八代産交
6,11:00:00,727301_7331_20251002,50_50120_1_20251002,1,三角産交,松橋駅→大口～三角病院→三角産交
81,11:02:00,727401_7825_20251002,100_100140_1_20251002,1,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
139,11:10:00,727401_8256_20251002,154_154110_1_20251002,1,八代市役所前,松橋駅→鏡四つ角～大村→八代市役所
208,11:15:00,727401_8276_20251002,154_154120_1_20251002,1,八代産交,松橋駅→宮原～八代駅→八代産交
209,12:10:00,727401_8277_20251002,154_154120_1_20251002,1,八代産交,松橋駅→宮原～八代駅→八代産交
82,12:47:00,727401_7826_20251002,100_100140_1_20251002,1,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
7,13:00:00,727301_7332_20251002,50_50120_1_20251002,1,三角産交,松橋駅→大口～三角病院→三角産交
210,13:00:00,727401_8278_20251002,154_154120_1_20251002,1,八代産交,松橋駅→宮原～八代駅→八代産交
140,13:40:00,727401_8257_20251002,154_154110_1_20251002,1,八代市役所前,松橋駅→鏡四つ角～大村→八代市役所
83,13:52:00,727401_7827_20251002,100_100140_1_20251002,1,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
211,14:10:00,727401_8279_20251002,154_154120_1_20251002,1,八代産交,松橋駅→宮原～八代駅→八代産交
84,15:06:00,727401_7828_20251002,100_100140_1_20251002,1,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
265,15:10:00,1_1254_20251001,15_17022_1_20251001,8,桜町バスターミナル,M6-3：松橋駅→城南→イオン→田迎→桜町バスターミナル
141,15:20:00,727401_8258_20251002,154_154110_1_20251002,1,八代市役所前,松橋駅→鏡四つ角～大村→八代市役所
85,16:00:00,727401_7829_20251002,100_100140_1_20251002,1,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
212,16:10:00,727401_8280_20251002,154_154120_1_20251002,1,八代産交,松橋駅→宮原～八代駅→八代産交
8,16:30:00,727301_7333_20251002,50_50120_1_20251002,1,三角産交,松橋駅→大口～三角病院→三角産交
142,16:45:00,727401_8259_20251002,154_154110_1_20251002,1,八代市役所前,松橋駅→鏡四つ角～大村→八代市役所
266,16:45:00,1_1255_20251001,15_17022_1_20251001,8,桜町バスターミナル,M6-3：松橋駅→城南→イオン→田迎→桜町バスターミナル
213,17:35:00,727401_8281_20251002,154_154120_1_20251002,1,八代産交,松橋駅→宮原～八代駅→八代産交
45,17:41:00,727401_7819_20251002,100_100130_1_20251002,1,砥用中央,宇土本町二丁目→山崎橋～堅志田→砥用中央
143,17:50:00,727401_8260_20251002,154_154110_1_20251002,1,八代市役所前,松橋駅→鏡四つ角～大村→八代市役所
9,17:50:00,727301_7334_20251002,50_50120_1_20251002,1,三角産交,松橋駅→大口～三角病院→三角産交
144,18:10:00,727401_8261_20251002,154_154110_1_20251002,1,八代市役所前,松橋駅→鏡四つ角～大村→八代市役所
267,19:00:00,1_1550_20251001,15_17022_1_20251001,8,桜町バスターミナル,M6-3：松橋駅→城南→イオン→田迎→桜町バスターミナル
86,19:10:00,727401_7830_20251002,100_100140_1_20251002,1,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
46,19:29:00,727401_7820_20251002,100_100130_1_20251002,1,砥用中央,宇土本町二丁目→山崎橋～堅志田→砥用中央
