departure_time,trip_id,route_id,service_id,trip_headsign,route_long_name
07:00,727404_15428_20251002,154_154120_1_20251002,4,八代産交,４：松橋駅→宮原～八代駅→八代産交
07:00,727405_17818_20251002,154_154120_1_20251002,5,八代産交,４：松橋駅→宮原～八代駅→八代産交
07:00,727403_13039_20251002,154_154120_1_20251002,3,八代産交,４：松橋駅→宮原～八代駅→八代産交
07:00,727401_8271_20251002,154_154120_1_20251002,1,八代産交,４：松橋駅→宮原～八代駅→八代産交
07:00,727402_10661_20251002,154_154120_1_20251002,2,八代産交,４：松橋駅→宮原～八代駅→八代産交
07:15,727402_9744_20251002,52_52161_1_20251002,2,宇土駅前,松橋駅→宇土本町二丁目～西城の浦→宇土駅前
07:15,727403_12134_20251002,52_52161_1_20251002,3,宇土駅前,松橋駅→宇土本町二丁目～西城の浦→宇土駅前
07:15,727404_14512_20251002,52_52161_1_20251002,4,宇土駅前,松橋駅→宇土本町二丁目～西城の浦→宇土駅前
07:15,727405_16901_20251002,52_52161_1_20251002,5,宇土駅前,松橋駅→宇土本町二丁目～西城の浦→宇土駅前
07:15,727401_7355_20251002,52_52161_1_20251002,1,宇土駅前,松橋駅→宇土本町二丁目～西城の浦→宇土駅前
07:17,727406_3797_20251002,100_100131_1_20251002,6,宇土本町二丁目,砥用中央→堅志田～山崎橋→宇土本町二丁目
07:18,727401_7821_20251002,100_100131_1_20251002,1,宇土本町二丁目,砥用中央→堅志田～山崎橋→宇土本町二丁目
07:18,727402_10208_20251002,100_100131_1_20251002,2,宇土本町二丁目,砥用中央→堅志田～山崎橋→宇土本町二丁目
07:18,727403_12598_20251002,100_100131_1_20251002,3,宇土本町二丁目,砥用中央→堅志田～山崎橋→宇土本町二丁目
07:18,727404_14978_20251002,100_100131_1_20251002,4,宇土本町二丁目,砥用中央→堅志田～山崎橋→宇土本町二丁目
07:18,727405_17365_20251002,100_100131_1_20251002,5,宇土本町二丁目,砥用中央→堅志田～山崎橋→宇土本町二丁目
07:27,727403_12599_20251002,100_100140_1_20251002,3,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
07:27,727404_14979_20251002,100_100140_1_20251002,4,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
07:27,727406_3796_20251002,100_100130_1_20251002,6,砥用中央,宇土本町二丁目→山崎橋～堅志田→砥用中央
07:27,727402_10209_20251002,100_100140_1_20251002,2,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
07:27,727401_7822_20251002,100_100140_1_20251002,1,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
07:27,727405_17366_20251002,100_100140_1_20251002,5,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
07:27,727407_5569_20251002,100_100140_1_20251002,7,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
07:35,727405_16902_20251002,52_52161_1_20251002,5,宇土駅前,松橋駅→宇土本町二丁目～西城の浦→宇土駅前
07:35,727404_14513_20251002,52_52161_1_20251002,4,宇土駅前,松橋駅→宇土本町二丁目～西城の浦→宇土駅前
07:35,727403_12135_20251002,52_52161_1_20251002,3,宇土駅前,松橋駅→宇土本町二丁目～西城の浦→宇土駅前
07:35,727401_7356_20251002,52_52161_1_20251002,1,宇土駅前,松橋駅→宇土本町二丁目～西城の浦→宇土駅前
07:35,727402_9745_20251002,52_52161_1_20251002,2,宇土駅前,松橋駅→宇土本町二丁目～西城の浦→宇土駅前
07:55,727405_17799_20251002,154_154110_1_20251002,5,八代市役所前,５：松橋駅→鏡四つ角～大村→八代市役所
07:55,727404_15409_20251002,154_154110_1_20251002,4,八代市役所前,５：松橋駅→鏡四つ角～大村→八代市役所
07:55,727403_13020_20251002,154_154110_1_20251002,3,八代市役所前,５：松橋駅→鏡四つ角～大村→八代市役所
07:55,727401_8252_20251002,154_154110_1_20251002,1,八代市役所前,５：松橋駅→鏡四つ角～大村→八代市役所
07:55,727402_10642_20251002,154_154110_1_20251002,2,八代市役所前,５：松橋駅→鏡四つ角～大村→八代市役所
08:10,727401_8272_20251002,154_154120_1_20251002,1,八代産交,４：松橋駅→宮原～八代駅→八代産交
08:10,727403_13040_20251002,154_154120_1_20251002,3,八代産交,４：松橋駅→宮原～八代駅→八代産交
08:10,727406_4144_20251002,154_154120_1_20251002,6,八代産交,４：松橋駅→宮原～八代駅→八代産交
08:10,727404_15429_20251002,154_154120_1_20251002,4,八代産交,４：松橋駅→宮原～八代駅→八代産交
08:10,727407_5903_20251002,154_154120_1_20251002,7,八代産交,４：松橋駅→宮原～八代駅→八代産交
08:10,727402_10662_20251002,154_154120_1_20251002,2,八代産交,４：松橋駅→宮原～八代駅→八代産交
08:10,727405_17819_20251002,154_154120_1_20251002,5,八代産交,４：松橋駅→宮原～八代駅→八代産交
08:20,727302_9718_20251002,50_50120_1_20251002,2,三角産交,松橋駅→大口～三角病院→三角産交
08:20,727304_14486_20251002,50_50120_1_20251002,4,三角産交,松橋駅→大口～三角病院→三角産交
08:20,727301_7329_20251002,50_50120_1_20251002,1,三角産交,松橋駅→大口～三角病院→三角産交
08:20,727305_16875_20251002,50_50120_1_20251002,5,三角産交,松橋駅→大口～三角病院→三角産交
08:20,727303_12108_20251002,50_50120_1_20251002,3,三角産交,松橋駅→大口～三角病院→三角産交
08:25,1_1253_20251001,15_17022_1_20251001,8,桜町バスターミナル,M6-3：松橋駅→城南→イオン→田迎→桜町バスターミナル
08:25,11_74_20251001,15_17022_1_20251001,5,桜町バスターミナル,M6-3：松橋駅→城南→イオン→田迎→桜町バスターミナル
08:30,727402_10643_20251002,154_154110_1_20251002,2,八代市役所前,５：松橋駅→鏡四つ角～大村→八代市役所
08:30,727407_5891_20251002,154_154110_1_20251002,7,八代市役所前,５：松橋駅→鏡四つ角～大村→八代市役所
08:30,727401_8253_20251002,154_154110_1_20251002,1,八代市役所前,５：松橋駅→鏡四つ角～大村→八代市役所
08:30,727406_4132_20251002,154_154110_1_20251002,6,八代市役所前,５：松橋駅→鏡四つ角～大村→八代市役所
08:30,727404_15410_20251002,154_154110_1_20251002,4,八代市役所前,５：松橋駅→鏡四つ角～大村→八代市役所
08:30,727403_13021_20251002,154_154110_1_20251002,3,八代市役所前,５：松橋駅→鏡四つ角～大村→八代市役所
08:30,727405_17800_20251002,154_154110_1_20251002,5,八代市役所前,５：松橋駅→鏡四つ角～大村→八代市役所
08:47,727401_7823_20251002,100_100140_1_20251002,1,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
08:47,727407_5570_20251002,100_100140_1_20251002,7,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
08:47,727403_12600_20251002,100_100140_1_20251002,3,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
08:47,727405_17367_20251002,100_100140_1_20251002,5,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
08:47,727404_14980_20251002,100_100140_1_20251002,4,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
08:47,727402_10210_20251002,100_100140_1_20251002,2,砥用中央,松橋駅→堅志田～佐俣の湯→砥用中央
08:55,727404_15430_20251002,154_154120_1_20251002,4,八代産交,４：松橋駅→宮原～八代駅→八代産交
