,service_id,date,exception_type
0,1220_122001_20251002,20251013,2
1,1220_122007_20251002,20251013,1
2,1220_122001_20251002,20251103,2
3,1220_122007_20251002,20251103,1
4,1220_122001_20251002,20251124,2
5,1220_122007_20251002,20251124,1
6,1271_127101_20251002,20251013,2
7,1271_127107_20251002,20251013,1
8,1271_127101_20251002,20251103,2
9,1271_127107_20251002,20251103,1
10,1271_127101_20251002,20251124,2
11,1271_127107_20251002,20251124,1
12,1272_127201_20251002,20251013,2
13,1272_127207_20251002,20251013,1
14,1272_127201_20251002,20251103,2
15,1272_127207_20251002,20251103,1
16,1272_127201_20251002,20251124,2
17,1272_127207_20251002,20251124,1
18,1280_128001_20251002,20251013,2
19,1280_128007_20251002,20251013,1
20,1280_128001_20251002,20251103,2
21,1280_128007_20251002,20251103,1
22,1280_128001_20251002,20251124,2
23,1280_128007_20251002,20251124,1
24,1282_128201_20251002,20251013,2
25,1282_128207_20251002,20251013,1
26,1282_128201_20251002,20251103,2
27,1282_128207_20251002,20251103,1
28,1282_128201_20251002,20251124,2
29,1282_128207_20251002,20251124,1
30,1285_128501_20251002,20251013,2
31,1285_128507_20251002,20251013,1
32,1285_128501_20251002,20251103,2
33,1285_128507_20251002,20251103,1
34,1285_128501_20251002,20251124,2
35,1285_128507_20251002,20251124,1
36,1999_199901_20251002,20251013,2
37,1999_199907_20251002,20251013,1
38,1999_199901_20251002,20251103,2
39,1999_199907_20251002,20251103,1
40,1999_199901_20251002,20251124,2
41,1999_199907_20251002,20251124,1
42,7210_721001_20251002,20251013,2
43,7210_721007_20251002,20251013,1
44,7210_721001_20251002,20251103,2
45,7210_721007_20251002,20251103,1
46,7210_721001_20251002,20251124,2
47,7210_721007_20251002,20251124,1
48,7214_721401_20251002,20251013,2
49,7214_721407_20251002,20251013,1
50,7214_721401_20251002,20251103,2
51,7214_721407_20251002,20251103,1
52,7214_721401_20251002,20251124,2
53,7214_721407_20251002,20251124,1
54,7270_727001_20251002,20251013,2
55,7270_727007_20251002,20251013,1
56,7270_727001_20251002,20251103,2
57,7270_727007_20251002,20251103,1
58,7270_727001_20251002,20251124,2
59,7270_727007_20251002,20251124,1
60,7272_727201_20251002,20251013,2
61,7272_727207_20251002,20251013,1
62,7272_727201_20251002,20251103,2
63,7272_727207_20251002,20251103,1
64,7272_727201_20251002,20251124,2
65,7272_727207_20251002,20251124,1
66,7273_727301_20251002,20251013,2
67,7273_727307_20251002,20251013,1
68,7273_727301_20251002,20251103,2
69,7273_727307_20251002,20251103,1
70,7273_727301_20251002,20251124,2
71,7273_727307_20251002,20251124,1
72,7274_727401_20251002,20251013,2
73,7274_727407_20251002,20251013,1
74,7274_727401_20251002,20251103,2
75,7274_727407_20251002,20251103,1
76,7274_727401_20251002,20251124,2
77,7274_727407_20251002,20251124,1
78,7275_727501_20251002,20251013,2
79,7275_727507_20251002,20251013,1
80,7275_727501_20251002,20251103,2
81,7275_727507_20251002,20251103,1
82,7275_727501_20251002,20251124,2
83,7275_727507_20251002,20251124,1
84,7276_727601_20251002,20251013,2
85,7276_727607_20251002,20251013,1
86,7276_727601_20251002,20251103,2
87,7276_727607_20251002,20251103,1
88,7276_727601_20251002,20251124,2
89,7276_727607_20251002,20251124,1
