,service_id,date,exception_type
0,1_1_20251001,20251013,2
1,1_3_20251001,20251013,1
2,1_1_20251001,20251103,2
3,1_3_20251001,20251103,1
4,1_1_20251001,20251124,2
5,1_3_20251001,20251124,1
6,11_7_20251001,20251004,1
7,11_7_20251001,20251011,1
8,11_1_20251001,20251013,2
9,11_7_20251001,20251013,1
10,11_7_20251001,20251018,1
11,11_7_20251001,20251025,1
12,11_7_20251001,20251101,1
13,11_1_20251001,20251103,2
14,11_7_20251001,20251103,1
15,11_7_20251001,20251108,1
16,11_7_20251001,20251115,1
17,11_7_20251001,20251122,1
18,11_1_20251001,20251124,2
19,11_7_20251001,20251124,1
20,11_7_20251001,20251129,1
